dir,name,outcome,reps,ns_per_iter
operators,test_sparse102,pass,63,1634920.6
operators,test_sparse103,pass,70,1557142.9
operators,test_sparse104,pass,66,1575757.6
operators,test_sparse105,pass,63,1619047.6
operators,test_sparse106,pass,63,1634920.6
operators,test_sparse107,pass,66,1575757.6
operators,test_sparse108,pass,63,1634920.6
operators,test_sparse109,pass,60,1700000.0
operators,test_sparse110,pass,66,1666666.7
operators,test_sparse111,pass,63,1650793.7
operators,test_sparse112,pass,63,1619047.6
operators,test_sparse113,pass,60,1716666.7
operators,test_sparse114,pass,132,765151.5
operators,test_sparse115,pass,143,762237.8
operators,test_sparse117,pass,1,874000000.0
operators,test_sparse37,pass,490,208163.3
operators,test_sparse38,pass,320,315625.0
operators,test_sparse39,pass,490,206122.4
operators,test_sparse40,pass,320,318750.0
operators,test_sparse41,pass,539,204081.6
operators,test_sparse42,pass,320,315625.0
operators,test_sparse43,pass,638,169279.0
operators,test_sparse44,pass,473,230444.0
operators,test_sparse50,pass,1,145000000.0
operators,test_sparse51,pass,1,634000000.0
operators,test_sparse52,pass,1,162000000.0
operators,test_sparse53,pass,1,574000000.0
operators,test_sparse54,pass,1,102000000.0
operators,test_sparse55,pass,1,2711000000.0
operators,test_sparse59,pass,1,13302000000.0
operators,test_sparse60,pass,1,9434000000.0
operators,test_sparse61,pass,1,14593000000.0
operators,test_sparse76,pass,1,224000000.0
operators,test_sparse77,pass,1,211000000.0
operators,test_sparse78,pass,1,493000000.0
operators,test_sparse79,pass,1,473000000.0
operators,test_sparse80,pass,1,19031000000.0
operators,test_sparse82,error,0,0.0
operators,test_sparse84,pass,121,900826.4
operators,test_sparse85,pass,110,918181.8
operators,test_sparse86,pass,121,900826.4
operators,test_sparse87,pass,110,918181.8
operators,test_sparse88,pass,110,918181.8
operators,test_sparse89,pass,121,884297.5
operators,test_sparse90,pass,121,900826.4
operators,test_sparse91,pass,121,909090.9
operators,test_sparse92,pass,110,927272.7
operators,test_sparse93,pass,110,945454.5
operators,test_sparse94,pass,112,901785.7
operators,test_sparse95,pass,121,892562.0
operators,test_sparse96,pass,121,876033.1
operators,test_sparse97,pass,120,866666.7
operators,test_sparse98,pass,110,936363.6
operators,test_sparse99,pass,121,892562.0
random,test_seed1,pass,1881,54758.1
signal,test_conv2_1,pass,640,165625.0
sparse,test_sparse1,pass,121,892562.0
sparse,test_sparse10,pass,539,204081.6
sparse,test_sparse11,pass,539,200371.1
sparse,test_sparse12,pass,530,196226.4
sparse,test_sparse13,pass,418,263157.9
sparse,test_sparse14,pass,418,263157.9
sparse,test_sparse15,pass,710,147887.3
sparse,test_sparse16,pass,710,150704.2
sparse,test_sparse17,pass,704,151988.6
