dir,name,fm_outcome,rs_outcome,fm_ns,rs_ns,speedup
variables,test_struct6,pass,pass,89409.7,2404.6,37.18277468185977
variables,test_struct7,pass,pass,49377.0,1888.7,26.14337904378673
variables,test_struct8,pass,pass,270202.0,6124.1,44.12109534462206
variables,test_struct9,pass,pass,104880.6,3853.5,27.216971584274038
variables,test_subset1,pass,pass,102897.1,4459.3,23.07472024757249
variables,test_subset10,pass,pass,95238.1,2407.2,39.56385011631772
variables,test_subset11,pass,pass,100934.6,4788.3,21.079422759643297
variables,test_subset12,pass,pass,101869.2,4728.4,21.54411640301159
variables,test_subset13,pass,pass,95327.1,2278.1,41.845002414292615
variables,test_subset14,pass,pass,116483.5,4686.9,24.852994516631465
variables,test_subset15,pass,pass,118681.3,5273.1,22.50693140657298
variables,test_subset16,pass,pass,46948.4,3148.3,14.91230187720357
variables,test_subset17,pass,pass,24121.8,631.3,38.20972596230002
variables,test_subset18,pass,pass,33437.5,1852.0,18.054805615550755
variables,test_subset19,pass,pass,228260.9,6910.6,33.03054727520041
variables,test_subset2,pass,pass,48356.8,2032.4,23.79295414288526
variables,test_subset20,pass,pass,126250.0,7272.0,17.36111111111111
variables,test_subset21,pass,pass,43533.9,1812.6,24.01737835153923
variables,test_subset22,pass,pass,39417.6,2070.9,19.034043169636387
variables,test_subset3,pass,pass,99816.8,2804.6,35.59038722099408
variables,test_subset4,pass,pass,98130.8,2460.3,39.885704995325774
variables,test_subset5,pass,pass,149147.7,3138.9,47.51591321800631
variables,test_subset6,pass,pass,101898.1,5239.4,19.448429209451465
variables,test_subset7,pass,pass,159874.6,3778.3,42.313897784717994
variables,test_subset8,pass,pass,174137.9,4703.7,37.021472457852326
variables,test_subset9,pass,pass,95327.1,2434.8,39.15192212912765
variables,test_vec1,pass,pass,33125.0,1089.2,30.41222915901579
